盘号,KF,时码,Seedance 2.0 Image Prompt,Seedance 2.0 Motion Prompt,参考文件建议,优化说明
2,4,00:10-00:14,"@image1 as character reference. Medium shot of middle-aged man burying face into mountain of open books. Frantically flipping pages, paper dust covering graying hair. Sweat on temples, brass desk lamp casting harsh side light. VFX: dust particles catching lamplight. Keep same character, same lighting angle.","Follow shot slowly circling the man. Hands moving faster with increasing desperation. Synchronized SFX: rapid page flipping, muffled heavy breathing. Keep character appearance consistent.",@image1:男子参考,专注角色一致性
2,5,00:14-00:17,"@image1 as page reference. Extreme macro close-up of aged fingers flipping ancient yellowed book pages with cryptic geometric symbols. Paper fiber texture, foxing spots. Frozen 0.6-second moment with finger mid-turn. VFX: frozen frame with subtle glitch. Keep same hand, same page texture.","Slow zoom into page surface with sudden freeze frame. Synchronized SFX: paper page flip rustle stopping abruptly. Keep freeze stable.",@image1:手指翻页参考,添加静帧技巧
2,6,00:17-00:20,"@image1 as overview reference. High angle wide shot of entire library transformed into sea of books. Tiny human figures crawling between towering piles. Paper drifting like snow. VFX: paper snow drift. Keep same scale, maintain bird's eye perspective.","Slow crane up and pull back with increasing shake. Lights dimming in waves. Synchronized SFX: paper avalanche, crawling scrapes. Keep paper density consistent.",@image1:全景俯视参考,优化大场景
3,1,00:00-00:02,"@image1 as first frame. Black CRT screen with flickering '第3盘 美术馆'. Strong VHS glitch, horizontal scanlines. Pure black background. VFX: heavy glitch. Keep title readable.","Static VHS title jitter with brief color bar flash. Synchronized SFX: VHS crackle. No BGM.",@image1:标题卡,简化
3,2,00:02-00:06,"@image1 as logo reference. Wide slow pan of empty white museum hall. Giant abstract paintings featuring the exact official mecha logo. Polished marble floor reflecting ceiling lights. VFX: dramatic spotlight flares with dust motes. Keep same lighting, maintain museum atmosphere.","Slow steady pan across hall. Spotlight beams slowly shifting. Synchronized SFX: echoing footsteps, faint hum. Keep pace steady.",@image1:LOGO参考,优化画廊描述
3,3,00:06-00:11,"@image1 as crowd reference. Crowd of people in formal attire staring at paintings. Some kneeling, some pressing palms against glass. Tears streaming, elderly man clutching chest. VFX: tear droplets with micro-refraction. Keep same crowd density, maintain emotion intensity.","Handheld tracking shot weaving through crowd. Synchronized SFX: soft sobs, shoe squeaks. Keep crowd movement natural.",@image1:观众参考,专注情感表达
3,4,00:11-00:15,"@image1 as logo detail reference. Extreme detail close-up on painting surface showing mecha logo. Visible oil paint brushstroke texture. Dramatic single spotlight. VFX: light bloom intensifying on logo center. Keep logo shape exact, maintain paint texture.","Slow deliberate push-in toward logo center. Light bloom gradually intensifying. Synchronized SFX: deep resonant hum emanating from painting. Keep logo recognizable.",@image1:LOGO特写参考,强化LOGO一致性
3,5,00:15-00:17,"@image1 as face reference. Medium shot of elegant woman staring upward, dilated pupils reflecting logo shape. Single tear rolling down cheek. Frozen 1-second frame. VFX: eye reflection glow, freeze frame with edge glitch. Keep same face, maintain reflection.","Slow zoom into face with sudden full freeze frame. Synchronized SFX: single tear drop impact. Keep face consistent.",@image1:女子特写参考,添加静帧
3,6,00:17-00:20,"@image1 as group reference. All visitors simultaneously tilting heads upward. Logo starting to emit bright white light flare. VHS noise bands increasing. VFX: logo center light bloom expanding. Keep crowd synchronized, maintain light intensity.","Collective synchronized head tilt upward. Light bloom expanding. VHS noise increasing progressively. Synchronized SFX: collective sharp gasp. Keep unity.",@image1:集体抬头参考,优化光效
4,1,00:00-00:02,"@image1 as first frame. Black CRT screen with '第4盘 狂悼街区'. Strong VHS glitch. Pure black background. VFX: heavy glitch. Keep title readable.","Static title jitter with color bar flash. Synchronized SFX: VHS crackle, distant crowd murmur. No BGM.",@image1:标题卡,简化
4,2,00:02-00:05,"@image1 as street reference. Wide night street establishing shot of makeshift concert stage. Dense crowd packed shoulder to surrounding, neon signs flickering. Wet street reflecting neon colors. VFX: neon bloom with color spill. Keep same neon colors, maintain wet reflection.","Shaky handheld establishing shot swaying with crowd. Neon reflections shimmering. Synchronized SFX: crowd cheers, neon buzz. Keep camera shake organic.",@image1:街道外景参考,优化夜景
4,3,00:05-00:11,"@image1 as singer reference. Medium shot of rock singer screaming into vintage chrome microphone. Sweat droplets flying in slow motion. Harsh red stage light from side. VFX: sweat droplets with motion blur trails. Keep same singer, maintain red lighting.","Energetic follow shot tracking singer. Sweat trails in slow motion. Synchronized SFX: powerful raw vocal screams, microphone feedback. Keep singer appearance consistent.",@image1:歌手参考,专注动态一致性
4,4,00:11-00:15,"@image1 as audience reference. Rapid montage of extreme close-ups: audience screaming, clutching phone, hands on security barrier. Motion blur on reaching hands. VFX: phone screen glow bloom. Keep same energy level, maintain montage pace.","Quick cut montage with aggressive handheld shake. Synchronized SFX: high-pitched screams layered, metal barrier creaking. Keep cuts punchy.",@image1:观众特写参考,优化蒙太奇
4,5,00:15-00:18,"@image1 as singer expression reference. Extreme close-up of singer hitting high note. Neck tendons straining, face flushed deep red. Frozen 0.7-second frame at peak strain. VFX: sweat streaming detail, freeze frame. Keep same expression, maintain strain intensity.","Slow push-in then sudden full freeze frame. Synchronized SFX: strained high vocal note cutting to silence. Keep freeze stable.",@image1:表情特写参考,添加静帧技巧
4,6,00:18-00:20,"@image1 as crowd overview reference. Wide chaotic shot of entire crowd at peak frenzy. All lights strobing between red blue white. Singer with arms spread wide. VFX: strobing multi-color flicker. Keep crowd scale, maintain strobe rhythm.","Rapid camera shake pulling back. Strobe intensifies. Synchronized SFX: massive crowd roar reaching peak. Keep energy high.",@image1:全场俯视参考,强化高潮
5,1,00:00-00:02,"@image1 as first frame. Black CRT screen with '第5盘 最终录像带'. More severe VHS glitch than previous tapes. Heavy color bleed. VFX: heavy glitch, multiple color bar flashes. Keep signal unstable, maintain deterioration.","Static title with heavy glitch, multiple signal interruptions. Synchronized SFX: intense VHS crackle, urgent warning beeps. No BGM.",@image1:标题卡,强化故障效果
5,2,00:02-00:06,"@image1 as mecha reference. Wide shot of huge dark cavernous test hall. Massive mecha prototype standing center: dark gray and red heavy bipedal mecha with glowing blue energy core. Chains and steel scaffolding. VFX: red warning light strobe, blue chest core pulse. Keep mecha design exact, maintain lighting.","Slow push-in with handheld shake toward mecha. Red warning lights sweeping. Synchronized SFX: alarm siren cycling, heavy machinery hum. Keep pacing ominous.",@image1:机械兽参考,优化大场景
5,3,00:06-00:10,"@image1 as mecha detail reference. Quick cut montage: control room hand pressing red button. Mecha chest core flaring from dim blue to bright blue. Mechanical joints crackling with blue energy. VFX: blue energy glow flare, electrical arcs. Keep mecha consistent, maintain energy color.","Quick cut montage with 0.5-second cuts. Each cut punctuated by blue flash. Synchronized SFX: button click, electrical surge zap. Keep cuts punchy.",@image1:启动按钮参考,优化启动序列
5,4,00:10-00:14,"@image1 as action reference. Mecha starting to tremble violently. Hydraulic pipes bursting with fluid spraying. Blue chest core pulsing faster. Floor cracking beneath feet. VFX: hydraulic spray arcs, spark shower, core pulse accelerating. Keep mecha stable, maintain destruction pace.","Intense camera shake matching tremor frequency. Synchronized SFX: metal tremor, hydraulic pipe burst, blue core hum accelerating. Keep shake intense.",@image1:颤抖参考,强化震动效果
5,5,00:14-00:17,"@image1 as face reference. Terrifying extreme close-up of mecha head with glowing blue camera-like optical lens. Dark hydraulic fluid dripping. Frozen 1-second frame. VFX: blue lens glow, progressive VHS glitch. Keep lens exact, maintain blue color.","Slow zoom into eye with sudden full freeze frame. VHS artifacts progressively corrupting. Synchronized SFX: servo whir, fluid drip. Keep freeze dramatic.",@image1:头部特写参考,添加静帧
5,6,00:17-00:19,"@image1 as explosion reference. Chaotic wide shot of catastrophic explosion erupting. Expanding fireball, steel debris flying. Mecha barely visible through fire. VFX: fireball expansion, debris motion trails. Keep explosion massive, maintain debris density.","Rapid multi-angle cuts with extreme shake. Synchronized SFX: massive explosion boom, secondary explosions, panicked screams. Keep chaos intense.",@image1:爆炸参考,优化灾难场景
5,7,00:19-00:20,"@image1 as final reference. Extreme overexposed tearing screen with horizontal band displacement. Ghostly silhouette of mecha standing in inferno with blue core glowing. Signal degrading to static snow. VFX: full screen tearing, RGB separation, signal loss. Keep silhouette clear, maintain deterioration.","Overexposure flash with RGB separation. Progressive signal loss to snow. Final cut to black silence. Synchronized SFX: final explosion tail, VHS tape tear. No BGM.",@image1:终局参考,完美收尾
