盘号,KF,时码,完整 Image Prompt（直接复制到NanoBanana Pro）,Motion Prompt（图生视频，主Prompt，含SFX+VFX）,备注
2,4,00:10-00:14,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition medium shot of middle-aged man in rumpled coat burying his face into a mountain of open books stacked three layers deep, frantically flipping pages with both hands simultaneously, paper dust and tiny fragments covering his graying hair and hunched shoulders, reading glasses askew on nose, sweat on temples, brass desk lamp casting harsh side light creating deep eye socket shadows, surrounding table completely buried under books with sticky notes protruding, VFX: dust particles catching lamplight, page flutter motion blur","follow shot slowly circling the man at table level, his hands moving faster with increasing desperation, slight focus pull between hands and face, with realistic SFX: rapid page flipping rustle accelerating, muffled heavy breathing into book spines, paper dust whoosh when pages fan, desk lamp buzzing, occasional frustrated grunt, no background music, no BGM",埋书堆
2,5,00:14-00:17,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition extreme macro close-up of trembling aged fingers with ink stains flipping through ancient yellowed book pages filled with cryptic geometric symbols and engineering-style diagrams in faded ink, paper fiber texture in extreme detail, visible foxing spots and age discoloration, cold blue window light from upper left creating sharp page shadow, frozen 0.6-second moment with finger mid-turn, page edge slightly curled, VFX: frozen frame with subtle VHS glitch artifact on edges, dust mote frozen in air","slow zoom into the page surface with sudden freeze frame at 0.6 seconds, slight glitch stutter on freeze, with synchronized SFX: paper page flip rustle stopping abruptly, finger pad on paper texture, distant crowd noise fading to near silence during freeze, faint heartbeat pulse during frozen moment, no background music, no BGM",手指翻页静帧
2,6,00:17-00:20,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition high angle wide shot from ceiling level of entire library transformed into a sea of books covering every surface, tiny human figures crawling and wading between towering unstable piles, some collapsed shelves leaning at angles, overhead lights dimming and flickering in sections creating moving shadow zones, paper still drifting down like snow, exit signs barely visible through the chaos, VFX: dimming light bloom with flicker zones, paper snow drift, slight vignette darkening at edges","slow crane up and pull back with increasing shake as if camera mount is unstable, lights dimming in waves across the space, with realistic SFX: paper avalanche rustle and cascade, crawling scrapes on wooden floor, collective frantic breathing echoing in large space, fluorescent lights humming then flickering with electrical tick, distant shelf collapse crash, no background music, no BGM",书海俯拍拉远
3,1,00:00-00:02,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition black CRT monitor screen with flickering white Chinese characters ""第3盘 美术馆"" in retro digital font, strong VHS glitch distortion, horizontal scanlines rolling slowly, color bleed on edges, pure black background, static title card, bottom-right corner faint timecode overlay, VFX: heavy glitch distortion and tracking error, brief color bar flash at start","static VHS title jitter with brief color bar flash, with synchronized SFX: VHS crackle, magnetic head click, tape hiss, no background music, no BGM",标题卡
3,2,00:02-00:06,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition wide slow pan of empty white museum hall with polished marble floor reflecting ceiling lights, giant abstract paintings on walls each featuring the exact official mecha logo from the provided reference image: bold high-contrast black geometric symbol with multiple concentric nested upward-pointing triangles creating layered black and white stripes encircled by two thick curved black arcs on left and right forming a partial circle with sharp clean lines and symmetrical minimalist mechanical design, paintings in heavy gilded frames with museum lighting spots creating dramatic pools of light, velvet rope barriers in front of paintings, empty wooden benches, VFX: dramatic spotlight flares with dust motes in beams, marble floor reflection of paintings","slow steady pan across the hall from left to right, spotlight beams slowly shifting, with realistic SFX: echoing footsteps of unseen person in distance, faint air conditioning hum, slight marble floor echo resonance, museum silence ambiance, no background music, no BGM",大厅摇镜
3,3,00:06-00:11,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition crowd of people in vintage coats and formal attire staring at paintings featuring the exact official mecha logo from the provided reference image: bold high-contrast black geometric symbol with multiple concentric nested upward-pointing triangles creating layered black and white stripes encircled by two thick curved black arcs on left and right forming a partial circle with sharp clean lines and symmetrical minimalist mechanical design, some kneeling on marble floor with hands pressed together, some pressing palms against protective glass leaving smudge prints, tears streaming down faces with mascara running, elderly man clutching chest, young woman covering mouth with trembling hand, VFX: tear droplets catching spotlight with micro-refraction detail, glass smudge prints visible","handheld tracking shot weaving through the crowd at eye level, passing between kneeling and standing figures, with synchronized SFX: soft sobs and choked gasps in foreground, shoe squeaks and shuffles on marble, fabric rustle from coats, distant security guard radio crackle, glass tapping from fingers, no background music, no BGM",民众跪地
3,4,00:11-00:15,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition extreme detail close-up on giant abstract painting surface showing the exact official mecha logo from the provided reference image: bold high-contrast black geometric symbol with multiple concentric nested upward-pointing triangles creating layered black and white stripes encircled by two thick curved black arcs on left and right forming a partial circle with sharp clean lines and symmetrical minimalist mechanical design, visible oil paint brushstroke texture and canvas weave grain, dramatic single spotlight from above creating sharp shadow beneath frame edge, slight dust on frame gilding, VFX: light bloom intensifying on logo center, subtle paint surface shimmer","slow deliberate push-in toward the logo center, light bloom gradually intensifying as camera approaches, with realistic SFX: deep resonant low-frequency hum emanating from painting growing louder, synchronized breathing from off-screen crowd, spotlight electrical buzz, no background music, no BGM",LOGO特写推进
3,5,00:15-00:17,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition medium shot of elegant woman in dark formal coat staring upward with slightly parted lips, her dilated pupils perfectly reflecting the exact official mecha logo shape from the provided reference image as a bright geometric reflection, single tear rolling down left cheek catching spotlight, pearl earring visible, hair slightly disheveled, frozen 1-second frame with VHS tracking artifact at bottom edge, VFX: eye reflection glow of logo shape with caustic light pattern, freeze frame with edge glitch artifact","slow zoom into her face with sudden full freeze frame at 1 second, slight VHS tracking band rolls through during freeze, with synchronized SFX: single tear drop impact sound on collar fabric, deep heartbeat pulse twice, crowd noise completely cuts to silence during freeze, faint electrical hum, no background music, no BGM",女士仰望静帧
3,6,00:17-00:20,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition all visitors simultaneously tilting heads upward in perfect unison, the mecha logo symbol in painting (the exact official logo from the provided reference image) starting to emit bright white light flare from its center spreading outward, light reflecting off every upturned face and wet eyes, VHS noise bands increasing across frame, painting frame casting dramatic shadow on wall as light intensifies, VFX: logo center light bloom expanding outward, progressive VHS noise bands multiplying, color bleed intensifying at frame edges","collective synchronized head tilt upward in unison, light bloom expanding from painting, VHS noise increasing progressively, fade with heavy glitch to next tape, with realistic SFX: collective sharp gasp in unison, glowing electrical hum intensifying from low to high pitch, VHS distortion crackle building, magnetic warble, no background music, no BGM",集体抬头发光
4,1,00:00-00:02,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition black CRT monitor screen with flickering white Chinese characters ""第4盘 狂悼街区"" in retro digital font, strong VHS glitch distortion, horizontal scanlines rolling slowly, color bleed on edges, pure black background, static title card, bottom-right corner faint timecode overlay, VFX: heavy glitch distortion and tracking error, brief color bar flash at start","static title jitter with color bar flash, with synchronized SFX: VHS crackle, distant crowd murmur bleeding through from next scene, magnetic head click, no background music, no BGM",标题卡
4,2,00:02-00:05,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition wide night street establishing shot of makeshift concert stage built from industrial scaffolding and plywood, lighting truss with par cans and moving heads, tall speaker stacks on both sides, dense crowd packed shoulder to shoulder extending into darkness, surrounding building facades covered in flickering neon signs with fictional glyphs and graphic logos in orange cyan and pink, wet street reflecting all neon colors, vintage rock band setup on stage with drum kit and amp stacks, slight handheld sway from crowd pressure, VFX: neon bloom with color spill on wet pavement, crowd silhouette depth layers","shaky handheld establishing shot swaying with crowd pressure, neon reflections shimmering on wet street, with realistic SFX: crowd cheers and sharp whistles, neon sign electrical buzz and flicker, bass drum thump felt more than heard, distant feedback squeal, wet footsteps, no background music, no BGM",舞台全景
4,3,00:05-00:11,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition medium shot of rock singer in disheveled dark suit with loosened tie and sweat-soaked white shirt clinging to chest, screaming into dented vintage chrome microphone with veins visible on neck, sweat droplets flying off jaw and hair in slow motion, harsh red stage light from side creating half-face shadow, monitor wedge speaker visible at feet, guitar cable snaking across stage floor, eyes squeezed shut with intense expression, VFX: sweat droplets with individual motion blur trails catching red light, red light flare and lens bloom","energetic follow shot tracking singer across stage, sweat trails in slow motion arcs, red light sweeping, with synchronized SFX: powerful raw vocal screams with natural distortion and microphone proximity effect, microphone feedback squeal, sweat splatter on mic grille, crowd roar surging in waves, stage monitor bleed, no background music, no BGM",歌手声嘶力竭
